日期,时间,时间戳,币种,基准价格(00:00),当前价格,涨跌幅(%)
2026-01-03,05:30:00,1767418200,TRX,0.30840000,0.30840000,0.0000
2026-01-03,05:30:00,1767418200,UNI,5.32200000,5.32200000,0.0000
2026-01-03,05:30:00,1767418200,XLM,0.22559000,0.22559000,0.0000
2026-01-03,05:30:00,1767418200,XRP,2.06410000,2.06410000,0.0000
2026-01-03,06:00:00,1767420000,AAVE,172.87000000,172.87000000,0.0000
2026-01-03,06:00:00,1767420000,APT,1.79200000,1.79200000,0.0000
2026-01-03,06:00:00,1767420000,BCH,599.50000000,599.50000000,0.0000
2026-01-03,06:00:00,1767420000,BNB,934.70000000,934.70000000,0.0000
2026-01-03,06:00:00,1767420000,BTC,95392.80000000,95392.80000000,0.0000
2026-01-03,06:00:00,1767420000,CFX,0.07664000,0.07664000,0.0000
2026-01-03,06:00:00,1767420000,CRO,0.10161000,0.10161000,0.0000
2026-01-03,06:00:00,1767420000,CRV,0.42790000,0.42790000,0.0000
2026-01-03,06:00:00,1767420000,DOGE,0.13801000,0.13801000,0.0000
2026-01-03,06:00:00,1767420000,DOT,2.12800000,2.12800000,0.0000
2026-01-03,06:00:00,1767420000,ETC,12.54000000,12.54000000,0.0000
2026-01-03,06:00:00,1767420000,ETH,3300.78000000,3300.78000000,0.0000
2026-01-03,06:00:00,1767420000,FIL,1.53300000,1.53300000,0.0000
2026-01-03,06:00:00,1767420000,HBAR,0.11693000,0.11693000,0.0000
2026-01-03,06:00:00,1767420000,LDO,0.61370000,0.61370000,0.0000
2026-01-03,06:00:00,1767420000,LINK,13.72800000,13.72800000,0.0000
2026-01-03,06:00:00,1767420000,LTC,72.83000000,72.83000000,0.0000
2026-01-03,06:00:00,1767420000,NEAR,1.72800000,1.72800000,0.0000
2026-01-03,06:00:00,1767420000,SOL,143.04000000,143.04000000,0.0000
2026-01-03,06:00:00,1767420000,STX,0.36380000,0.36380000,0.0000
2026-01-03,06:00:00,1767420000,SUI,1.78100000,1.78100000,0.0000
2026-01-03,06:00:00,1767420000,TAO,274.30000000,274.30000000,0.0000
2026-01-03,06:00:00,1767420000,TON,1.70200000,1.70200000,0.0000
2026-01-03,06:00:00,1767420000,TRX,0.30840000,0.30840000,0.0000
2026-01-03,06:00:00,1767420000,UNI,5.32200000,5.32200000,0.0000
2026-01-03,06:00:00,1767420000,XLM,0.22559000,0.22559000,0.0000
2026-01-03,06:00:00,1767420000,XRP,2.06410000,2.06410000,0.0000
2026-01-03,06:30:00,1767421800,AAVE,172.87000000,172.87000000,0.0000
